Rk,Gcar,Gtm,Date,Tm,HmAw,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,Entered,Exited
1,1,40,May 15,NYM,,NYY,L0-1,GS-7,L(0-1),99,7.0,4,1,1,2,6,0,0,1.29,25,91,57,20,9,6,11,5,0,0,69,,,0,0,0,23,2,0,0,1,0,0,1.11,0.154,1.91,1t start tie,7t 3 out d1
2,2,45,May 21,NYM,,LAD,L3-4,GS-6,L(0-2),5,6.0,4,3,3,3,4,3,0,2.77,23,96,55,20,6,6,10,6,1,0,53,,,0,1,0,20,1,0,1,0,0,0,.82,-0.089,-0.51,1t start tie,6t 3 out d3
3,3,50,May 26,NYM,,PIT,L3-5,GS-7,,4,6.667,5,0,0,5,4,0,0,1.83,29,122,67,16,13,10,10,3,0,0,63,,,0,0,0,24,1,0,0,1,0,0,1.28,0.317,2.52,1t start tie,7t 12- 2 out a2
4,4,55,May 31,NYM,@,PHI,W5-4,GS-7,,4,6.333,3,3,3,2,11,1,0,2.42,23,101,59,17,14,5,5,1,1,0,64,,,0,1,0,21,0,0,0,0,0,0,.81,0.041,-0.11,1b start a 2,7b --- 1 out a1
5,5,60,Jun 5,NYM,@,CHC,L4-7,GS-5,,4,5.0,5,4,4,3,3,1,0,3.19,24,90,59,12,7,4,14,5,3,0,41,,,0,0,0,20,2,0,0,0,1,0,.69,-0.223,-1.75,1b start tie,5b 3 out d4
6,6,65,Jun 11,NYM,,MIL,L1-3,GS-6,L(0-3),5,5.667,9,3,3,1,4,0,0,3.44,27,107,80,14,13,10,12,9,0,0,42,,,0,0,0,26,3,0,0,0,0,1,1.34,-0.159,-0.70,1t start tie,6t 1-- 2 out d2
7,7,70,Jun 16,NYM,@,STL,L2-6,GS-5,L(0-4),4,4.333,12,6,6,2,2,0,0,4.39,25,91,56,12,8,9,12,9,0,0,15,,,0,0,0,23,2,1,0,1,0,0,.92,-0.323,-4.64,1b start tie,5b 12- 1 out d5
8,8,75,Jun 21,NYM,@,MIA,W4-0,GS-7,W(1-4),4,7.0,5,0,0,3,7,0,0,3.75,28,97,63,17,8,8,10,5,1,0,71,,,1,0,0,25,2,0,0,1,0,1,1.41,0.423,3.09,1b start tie,7b 3 out a2
9,9,80,Jun 27,NYM,@,PIT,L2-3,GS-7,,5,6.667,5,2,2,3,4,0,1,3.62,27,90,63,18,8,13,6,3,1,0,57,,,0,0,0,22,0,0,0,2,0,0,1.41,0.083,0.77,1b start tie,7b -2- 2 out tie
10,10,85,Jul 2,NYM,@,ATL,L1-3,GS-5,L(1-5),4,5.0,6,3,3,2,8,0,0,3.77,23,110,69,12,16,8,5,2,0,0,49,,,1,0,0,20,1,0,0,0,0,0,.90,-0.158,-0.84,1b start tie,5b 3 out d2
11,11,90,Jul 8,NYM,,ATL,W8-3,GS-7,W(2-5),5,7.0,7,0,0,0,11,0,0,3.38,27,108,73,19,20,6,10,8,1,0,74,,,3,0,0,27,0,0,0,1,0,0,.67,0.179,2.91,1t start tie,7t 3 out a6
12,12,95,Jul 13,NYM,,MIA,W9-1,GS-7,W(3-5),4,7.0,5,1,1,2,8,0,0,3.18,26,113,71,19,19,6,10,4,2,0,69,,,1,1,0,24,1,0,0,1,0,0,.96,0.173,1.91,1t start tie,7t 3 out a4
13,13,100,Jul 22,NYM,@,SEA,W3-1,GS-7,W(4-5),8,7.0,5,1,1,1,7,0,0,3.01,27,107,78,23,13,11,8,4,1,0,69,,,1,0,0,26,1,0,0,0,0,0,1.17,0.329,2.09,1b start tie,7b 3 out a1
14,14,105,Jul 27,NYM,@,MIL,W2-0,GS-7,W(5-5),4,6.333,4,0,0,2,4,0,0,2.79,25,114,76,12,17,8,11,2,1,0,67,,,0,0,0,23,0,0,0,0,0,0,1.05,0.263,2.33,1b start tie,7b 12- 1 out a2
15,15,110,Aug 2,NYM,,SFG,W4-2,GS-8,W(6-5),5,7.333,4,2,2,1,7,0,0,2.77,27,101,73,22,13,10,9,6,1,0,68,,,0,0,0,26,2,0,0,0,0,0,.87,0.312,0.87,1t start tie,8t 1-- 1 out a2
16,16,115,Aug 7,NYM,@,WSN,L3-5,GS-6,,4,6.0,7,3,3,1,4,1,0,2.87,24,97,63,18,9,7,12,5,2,0,49,,,0,1,0,22,2,0,0,1,0,0,.73,-0.106,-0.24,1b start tie,6b 3 out d2
17,17,130,Aug 23,NYM,@,LAD,L4-7,GS-6,L(6-6),15,6.0,5,5,5,2,7,1,0,3.13,25,86,63,13,12,8,8,5,0,0,47,,,1,0,0,22,0,1,0,0,1,0,1.22,-0.393,-2.46,1b start tie,6b 3 out d1
18,18,135,Aug 29,NYM,,PHI,W4-1,GS-7,W(7-6),5,7.0,4,1,0,2,5,0,0,2.94,27,103,70,21,11,14,6,4,0,0,70,,,0,0,0,24,0,0,0,1,0,1,1.61,0.198,1.91,1t start tie,7t 3 out tie
19,19,140,Sep 3,NYM,@,MIA,W4-3,GS-6,,4,6.0,6,1,1,2,6,0,0,2.87,24,114,72,22,12,10,6,3,0,0,60,,,0,0,0,22,1,0,1,2,0,0,1.23,0.229,1.65,1b start tie,6b 3 out a1
20,20,145,Sep 9,NYM,,COL,W2-0,GS-8,W(8-6),5,8.0,3,0,0,0,9,0,0,2.69,27,100,75,21,12,7,11,4,3,0,85,,,0,0,0,27,2,0,0,0,0,0,.92,0.457,3.32,1t start tie,8t 3 out a2
21,21,151,Sep 15,NYM,,MIA,L5-6,GS-7,,5,7.0,6,3,3,1,13,0,0,2.75,28,98,68,23,14,8,6,2,1,0,65,,,0,0,0,25,2,0,0,0,1,0,1.18,-0.219,-0.09,1t start tie,7t 3 out d1
22,22,156,Sep 21,NYM,@,ATL,W10-2,GS-6,W(9-6),5,6.0,3,2,1,3,10,0,0,2.69,24,100,63,11,16,6,5,3,0,0,67,,,0,0,0,21,0,0,0,1,0,1,1.12,0.144,0.60,1b start a 1,6b 3 out a4
