Rk,Gcar,Gtm,Date,Tm,HmAw,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,77,2,Apr 5,NYM,,ATL,L1-3,GS-6,,99,6.0,2,0,0,1,6,0,0,0.00,21,95,61,19,9,11,3,1,0,0,73,,,0,0,0,20,1,0,0,0,0,0,.96,0.360,3.01,23.70,36.00,1t start tie,6t 3 out a1
2,78,7,Apr 10,NYM,@,PHI,W4-3,GS-6,,4,6.0,6,2,2,2,3,0,0,1.50,25,96,67,17,12,12,8,3,2,0,53,,,0,0,0,23,0,0,0,1,0,0,1.01,0.055,0.97,10.70,21.00,1b start tie,6b 3 out d1
3,79,12,Apr 15,NYM,@,MIA,L4-5,GS-7,,4,7.0,4,2,2,1,13,2,0,1.89,26,97,64,18,22,7,5,2,0,0,73,,,0,0,0,25,0,0,0,0,0,0,.86,0.156,1.36,34.75,54.00,1b start a 1,7b 3 out a1
4,80,18,Apr 22,NYM,,WSN,L1-3,GS-6,L(0-1),6,5.667,8,3,3,6,10,0,0,2.55,29,101,65,13,27,3,10,7,1,0,45,,,0,0,0,23,2,0,1,1,0,0,1.04,-0.090,-0.43,18.35,38.00,1t start tie,6t 12- 2 out d3
5,81,22,Apr 28,NYM,@,WSN,W7-5,GS-7,W(1-1),5,7.0,6,3,3,1,12,2,0,2.84,27,112,77,22,19,2,12,4,0,0,64,,,0,0,0,26,0,0,0,1,0,0,1.05,0.127,0.73,33.55,60.00,1b start tie,7b 3 out a2
6,82,27,May 3,NYM,@,ATL,W16-5,GS-5,W(2-1),4,5.0,8,5,5,5,5,0,0,3.68,27,109,68,18,7,7,11,7,1,0,31,,,0,0,0,22,1,1,0,1,0,0,.90,-0.053,-2.47,7.45,27.00,1b start a 2,5b 3 out a4
7,83,31,May 8,NYM,,SFG,W4-3,GS-6,,4,6.0,4,3,3,3,11,2,0,3.80,25,105,64,12,16,6,5,1,1,0,60,,,0,0,0,22,1,0,0,0,0,0,.87,-0.062,0.01,25.30,42.00,1t start tie,6t 3 out d1
8,84,36,May 14,NYM,@,MIL,L9-11,GS-7,,5,6.0,8,4,4,1,7,1,0,4.07,27,107,76,16,14,9,10,7,1,0,46,,,0,0,0,26,2,0,0,0,0,0,.78,0.091,-0.26,14.10,27.00,1b start a 1,7b 1-- 0 out a5
9,85,40,May 19,NYM,,LAA,W3-0,GS-7,W(3-1),4,7.0,4,0,0,3,9,0,1,3.56,28,106,66,21,16,7,8,6,1,0,75,,,0,1,0,24,1,0,1,0,0,0,1.49,0.439,3.51,32.95,60.00,1t start tie,7t 3 out a2
10,86,46,May 26,NYM,@,PIT,W8-1,GS-9,W(4-1),6,8.333,6,1,1,1,10,1,0,3.23,32,118,80,24,18,10,11,6,2,0,76,,,1,0,0,31,0,0,0,0,0,0,.57,0.179,3.07,36.55,64.00,1b start tie,9b 1-- 1 out a7
11,87,51,May 31,NYM,,MIL,L1-7,GS-4,L(4-2),4,4.0,8,7,7,5,6,2,0,3.97,25,105,69,15,15,7,7,3,1,0,19,,,1,0,0,20,3,0,1,0,0,0,.69,-0.322,-5.00,-0.80,9.00,1t start tie,4t 3 out d7
12,88,56,Jun 6,NYM,@,TEX,L8-10,GS-4,L(4-3),5,4.0,10,8,8,1,2,2,0,4.75,22,69,45,13,6,8,11,6,1,0,11,,,1,0,0,20,1,0,0,1,1,0,.99,-0.573,-5.74,-9.60,-6.00,1b start a 1,4b 3 out d4
13,89,62,Jun 12,NYM,,CHC,W6-1,CG,W(5-3),5,9.0,5,1,1,4,6,1,0,4.33,33,116,80,18,15,16,7,1,2,0,75,,,0,0,0,29,1,0,1,4,0,1,.79,0.316,3.51,31.35,54.00,1t start tie,9t 3 out a5
14,90,68,Jun 18,NYM,,WSN,W5-1,GS-8,W(6-3),5,8.0,3,1,0,2,6,0,0,3.94,30,105,65,14,13,11,11,2,5,0,78,,,4,0,0,27,0,0,0,0,1,1,.87,0.295,3.01,31.00,54.00,1t start tie,8t 3 out a4
